adm0_name,iso3,X,Y,published,source,airline,info,optional1,optional2,optional3,ObjectId
Abyei,"SDN, SSD",28.415755,9.786952,,,,,,,,1
Afghanistan,AFG,66.026881,33.831602,,,,,,,,2
Aksai Chin,"AKS, CHN",79.132432,35.030488,,,,,,,,3
Åland Islands,ALA,19.80946,60.15449,,,,,,,,4
Albania,ALB,20.066643,41.138926,27.05.2020,https://www.routesonline.com/news/38/airlineroute/291471/albawings-moves-new-german-routes-launch-to-june-2020/,.Albawings,Albawings moves new German routes launch to June 2020,,,,5
Algeria,DZA,2.678028,28.157361,20.04.2020,https://www.observalgerie.com/date-officielle-de-la-reprise-de-ses-vols-air-algerie-se-prononce/2020/,.Air Algerie,Date officielle de la reprise de ses vols : Air Algérie se prononce,,,,6
All Airlines,xUK,32.923365,34.638024,29.03.2020,https://samchui.com/2020/03/29/covid-19-comprehensive-list-of-airlines-and-routes-still-operate/?utm_source=BoardingArea&utm_medium=twitter#.XoDurIgzY2w,".zAirlines (Airline Code): AA, AC, AF, AY, BA, BR, CA, CI, CX, CZ, DL, HU, JP, KE, KL, LH, LX, MU, NH, OZ, QF, QR, SK, SU, SQ, TP, UA",COVID-19: COMPREHENSIVE LIST OF AIRLINES AND ROUTES THAT STILL OPERATE,,,,7
American Samoa,ASM,-170.71806,-14.300686,,,,,,,,8
Andorra,AND,1.576279,42.545479,,,,,,,,9
Angola,AGO,17.577532,-12.337524,27.03.2020,https://www.routesonline.com/news/38/airlineroute/290513/taag-15-day-scheduled-service-suspension-from-20mar20/,TAAG,TAAG 15-day scheduled service suspension from 20MAR20,,,,10
Anguilla,AIA,-63.054596,18.214755,,,,,,,,11
Antarctica,ATA,21.475857,-80.408977,,,,,,,,12
Antigua and Barbuda,ATG,-61.799256,17.077306,30.05.2020,https://antiguaobserver.com/liat-suspends-commercial-flights-for-another-month-2/,.LIAT,LIAT passenger services will remain suspended until June 30,,,,13
Argentina,ARG,-63.578123,-31.578414,30.03.2020,https://www.routesonline.com/news/38/airlineroute/290537/aerolineas-argentinas-01apr20-10apr20-operations-as-of-29mar20/,.Aerolineas Argentinas,Aerolineas Argentinas 01APR20 – 10APR20 DOMESTIC operations as of 29MAR20,,,,14
Argentina,ARG,-63.578123,-31.578414,02.05.2020,https://www.routesonline.com/news/38/airlineroute/291067/aerolineas-argentinas-june-2020-international-operations-as-of-1130gmt-02may20/,.Aerolineas Argentinas,Aerolineas Argentinas June 2020 INTERNATIONAL operations as of 02MAY20,,,,15
Armenia,ARM,44.938387,40.295005,,,,,,,,16
Aruba,ABW,-69.970272,12.50911,,,,,,,,17
